Vs0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-59.75517594326918,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000387 -52.00001932 ... -54.75736633 -54.75736633
 -54.75736633]","[-52.         -52.00000387 -52.00001932 ... -54.75736633 -54.75736633
 -54.75736633]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-56.51089753431159,quiescent,quiescent,0,0,,,,,,,,,,,
-55.19992053120248,tonic_spiking,tonic_spiking,1,1,,,,,,,,,"[-52.         -52.00000066 -52.00000329 ... -52.03721153 -52.03721153
 -52.03721153]","[-52.         -52.00000066 -52.00000329 ... -52.03721153 -52.03721153
 -52.03721153]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-54.79441300414499,bursting,bursting,42,48,6.0,6.5,0.18614669538601072,0.31985723556132384,0.7557722102558286,0.6489292667099285,15.10897915714581,13.893734716451831,,,
-54.29646231441619,tonic_spiking,tonic_spiking,74,79,5.5,5.5,0.41149469873286826,0.4846028154851683,1.2929919834497026,1.2569130216189042,15.947748313639892,14.201795792857432,"[-52.         -52.00000034 -52.00000169 ... -60.13744994 -60.10090584
 -60.06453753]","[-52.         -52.00000034 -52.00000169 ... -52.23675311 -52.23565733
 -52.23456696]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-54.2652196378679,tonic_spiking,bursting,73,81,5.5,6.0,0.39509515088780967,0.4223414754502837,1.5924834779839165,1.2336540833950154,15.408051906023656,13.728164834560777,,,
-51.58121296171791,tonic_spiking,tonic_spiking,112,116,11.5,12.0,0.4861184980321249,0.46758069123107693,2.127433251781725,2.856326763781778,14.517821247292707,13.858456234623379,"[-52.         -52.00000001 -52.00000006 ... -59.77262047 -59.73370292
 -59.69497856]","[-52.         -52.00000001 -52.00000006 ... -57.89253565 -57.86321313
 -57.83403738]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-50.24962955493127,bursting,bursting,96,88,14.0,14.0,0.32741355284052237,0.31829997807635707,0.6481511488479114,0.6263898023740175,26.11639126177536,26.159613517519766,,,
-50.08400578752144,bursting,bursting,87,80,15.0,15.0,0.2896511204991188,0.28738866728594065,0.5595501217021515,0.5464182285121032,27.218367167209298,27.064217692912703,"[-52.         -52.00000024 -52.00000118 ... -55.48788371 -55.48776803
 -55.48765229]","[-52.         -52.00000024 -52.00000118 ... -46.48190777 -45.97714953
 -45.38378905]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-49.66984651219392,quiescent,quiescent,0,0,,,,,,,,,,,
-49.360797984163575,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000045 -52.00000224 ... -56.78823232 -56.78823233
 -56.78823233]","[-52.         -52.00000045 -52.00000224 ... -56.78823232 -56.78823233
 -56.78823233]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-48.476414601227845,quiescent,quiescent,0,0,,,,,,,,,,,
-48.156246079587504,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000095 -52.00000475 ... -60.50396423 -60.50396423
 -60.50396423]","[-52.         -52.00000095 -52.00000475 ... -60.50396423 -60.50396423
 -60.50396423]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-47.66245328873977,quiescent,quiescent,0,0,,,,,,,,,,,
-46.247744020967716,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000213 -52.00001063 ... -65.6091617  -65.6091617
 -65.60916171]","[-52.         -52.00000213 -52.00001063 ... -65.6091617  -65.6091617
 -65.60916171]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-46.11104032285526,quiescent,quiescent,0,0,,,,,,,,,,,
-45.60774849346364,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000263 -52.00001313 ... -67.26404425 -67.26404426
 -67.26404427]","[-52.         -52.00000263 -52.00001313 ... -67.26404425 -67.26404426
 -67.26404427]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-45.603010125685856,quiescent,quiescent,0,0,,,,,,,,,,,
-45.29717641804393,quiescent,quiescent,0,0,,,,,,,,,,,
-44.363793965159836,quiescent,quiescent,0,0,,,,,,,,,"[-52.         -52.00000376 -52.00001874 ... -70.4447916  -70.44479161
 -70.44479162]","[-52.         -52.00000376 -52.00001874 ... -70.4447916  -70.44479161
 -70.44479162]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
